Open,High,Low,Close,Adj Close,Volume
206.75,209.7899932861328,206.27000427246094,209.77999877929688,209.77999877929688,12077100
207.2100067138672,210.39999389648438,206.9499969482422,208.6699981689453,208.6699981689453,11188400
206.6999969482422,212.77999877929688,206.52000427246094,212.60000610351562,212.60000610351562,17058900
212.82000732421875,214.5800018310547,211.75,213.05999755859375,213.05999755859375,14912400
213.0,216.24000549316406,212.61000061035156,215.22000122070312,215.22000122070312,13475000
217.5399932861328,218.3800048828125,216.27999877929688,218.3000030517578,218.3000030517578,12642800
219.1999969482422,219.8800048828125,217.4199981689453,218.05999755859375,218.05999755859375,12119400
219.60000610351562,221.97000122070312,219.2100067138672,221.91000366210938,221.91000366210938,14463400
221.61000061035156,222.3800048828125,218.6300048828125,219.05999755859375,219.05999755859375,13288900
220.61000061035156,221.67999267578125,220.13999938964844,221.14999389648438,221.14999389648438,10036500
222.57000732421875,222.6300048828125,220.38999938964844,221.77000427246094,221.77000427246094,10015300
222.02999877929688,222.2899932861328,220.52999877929688,222.13999938964844,222.13999938964844,15905900
222.16000366210938,222.3699951171875,219.1199951171875,221.44000244140625,221.44000244140625,14275800
222.30999755859375,222.75,221.27999877929688,221.32000732421875,221.32000732421875,12212800
220.75,221.49000549316406,219.27000427246094,219.75999450683594,219.75999450683594,11195000
220.8000030517578,221.77999877929688,216.11000061035156,217.94000244140625,217.94000244140625,11905800
213.10000610351562,216.05999755859375,212.5,214.8699951171875,214.8699951171875,13810700
216.13999938964844,218.74000549316406,213.52000427246094,217.7899932861328,217.7899932861328,13413800
221.44000244140625,224.1999969482422,218.4499969482422,223.22999572753906,223.22999572753906,33181300
206.52999877929688,211.42999267578125,204.75,209.52999877929688,209.52999877929688,48775500
208.42999267578125,208.69000244140625,201.05999755859375,201.91000366210938,201.91000366210938,31359900
203.44000244140625,205.13999938964844,202.5,204.19000244140625,204.19000244140625,15495600
206.6199951171875,210.60000610351562,205.1999969482422,209.8300018310547,209.8300018310547,19628900
212.50999450683594,212.72999572753906,208.7100067138672,210.11000061035156,210.11000061035156,12538200
210.47000122070312,211.19000244140625,209.33999633789062,210.85000610351562,210.85000610351562,10567500
210.3000030517578,212.82000732421875,209.92999267578125,212.3300018310547,212.3300018310547,12242500
211.52000427246094,213.8000030517578,210.66000366210938,213.05999755859375,213.05999755859375,11856400
210.19000244140625,210.86000061035156,206.50999450683594,207.19000244140625,207.19000244140625,25030800
207.85000610351562,211.22000122070312,207.39999389648438,210.75999450683594,210.75999450683594,13813700
209.52000427246094,214.3300018310547,209.17999267578125,213.13999938964844,213.13999938964844,15396600
214.0,214.92999267578125,212.64999389648438,214.17999267578125,214.17999267578125,10741700
213.5500030517578,217.97999572753906,213.39999389648438,217.8000030517578,217.8000030517578,15609200
217.99000549316406,218.32000732421875,216.11000061035156,217.49000549316406,217.49000549316406,12135100
216.52000427246094,218.77000427246094,212.9499969482422,214.5800018310547,214.5800018310547,13109200
213.47999572753906,214.24000549316406,208.8300018310547,210.17999267578125,210.17999267578125,14092300
201.8000030517578,203.64999389648438,198.1699981689453,200.72000122070312,200.72000122070312,23080100
202.25,203.5,195.9499969482422,196.77000427246094,196.77000427246094,21433500
197.19000244140625,201.2100067138672,195.49000549316406,197.1999969482422,197.1999969482422,16524500
191.82000732421875,195.8800048828125,189.5,189.75,189.75,21682600
182.6999969482422,192.74000549316406,181.82000732421875,192.47000122070312,192.47000122070312,32568900
194.02999877929688,196.57000732421875,188.85000610351562,196.44000244140625,196.44000244140625,24949000
196.22000122070312,197.24000549316406,183.97000122070312,185.88999938964844,185.88999938964844,27984100
189.1699981689453,191.8300018310547,186.38999938964844,191.75999450683594,191.75999450683594,23062500
186.77999877929688,188.99000549316406,183.88999938964844,185.1699981689453,185.1699981689453,19333400
178.3300018310547,183.77999877929688,176.25999450683594,181.08999633789062,181.08999633789062,24559600
169.60000610351562,175.0,165.19000244140625,169.5,169.5,29949000
174.6699981689453,178.2899932861328,169.5,178.19000244140625,178.19000244140625,24517800
174.00999450683594,175.8800048828125,167.66000366210938,170.24000549316406,170.24000549316406,20373900
159.5399932861328,166.60000610351562,154.33999633789062,154.47000122070312,154.47000122070312,43266300
163.52999877929688,170.7899932861328,157.60000610351562,170.27999877929688,170.27999877929688,35028600
152.32000732421875,159.1300048828125,143.10000610351562,146.00999450683594,146.00999450683594,39120400
150.74000549316406,153.94000244140625,140.0,149.4199981689453,149.4199981689453,34255600
139.75,148.17999267578125,137.10000610351562,146.9600067138672,146.9600067138672,37553100
146.6199951171875,159.92999267578125,144.8000030517578,153.1300048828125,153.1300048828125,39862300
156.02000427246094,159.27000427246094,148.0,149.72999572753906,149.72999572753906,32568400
149.66000366210938,152.30999755859375,142.25,148.10000610351562,148.10000610351562,29830800
155.2100067138672,161.30999755859375,152.57000732421875,160.97999572753906,160.97999572753906,30440400
158.9199981689453,162.99000549316406,153.05999755859375,156.2100067138672,156.2100067138672,35184300
158.25,164.0,157.02000427246094,163.33999633789062,163.33999633789062,26556800
158.1999969482422,160.08999633789062,154.75,156.7899932861328,156.7899932861328,24879900
159.17999267578125,166.75,158.05999755859375,165.9499969482422,165.9499969482422,22515200
165.47999572753906,170.92999267578125,164.1999969482422,166.8000030517578,166.8000030517578,23676300
161.6199951171875,164.14999389648438,158.0399932861328,159.60000610351562,159.60000610351562,19507600
159.10000610351562,161.35000610351562,155.9199981689453,158.19000244140625,158.19000244140625,20886300
157.14999389648438,157.91000366210938,150.8300018310547,154.17999267578125,154.17999267578125,25983300
